Player,Team,Age,Position,G,GS,Completions,Attempts,Cmp%,Yards,TD,TD%,Int,Int%,First_Downs,Longest_completion,Y/A,AY/A,Y/C,Y/G,Rate,Sacks,Sack_Yards_Lost,NY/A,ANY/A,Sk%,4th_Q_comebacks,Game_winning_drives
Nick Foles,CHI,31,QB,9,7,202,312,64.7,1852,10,3.2,8,2.6,93,50,5.9,5.4,9.2,205.8,80.8,18,145,5.17,4.69,5.5,2,2
Mitchell Trubisky,CHI,26,QB,10,9,199,297,67,2055,16,5.4,8,2.7,124,53,6.9,6.8,10.3,205.5,93.5,18,125,6.13,6,5.7,1,1
Tua Tagovailoa,MIA,22,QB,10,9,186,290,64.1,1814,11,3.8,5,1.7,100,35,6.3,6.2,9.8,181.4,87.1,20,136,5.41,5.4,6.5,2,2
Ryan Fitzpatrick,MIA,38,QB,9,7,183,267,68.5,2091,13,4.9,8,3,106,70,7.8,7.5,11.4,232.3,95.6,14,65,7.21,6.85,5,1,1
Alex Smith,WAS,36,QB,8,6,168,252,66.7,1582,6,2.4,8,3.2,74,68,6.3,5.3,9.4,197.8,78.5,22,139,5.27,4.39,8,1,1
Dwayne Haskins,WAS,23,QB,7,6,148,241,61.4,1439,5,2.1,7,2.9,73,50,6,5.1,9.7,205.6,73,20,141,4.97,4.15,7.7,1,1
Dak Prescott,DAL,27,QB,5,5,151,222,68,1856,9,4.1,4,1.8,93,58,8.4,8.4,12.3,371.2,99.6,10,66,7.72,7.72,4.3,1,1
Mike Glennon,JAX,31,QB,5,5,111,179,62,1072,7,3.9,5,2.8,57,46,6,5.5,9.7,214.4,80.1,9,53,5.42,4.97,4.8,0,0
Jalen Hurts,PHI,22,QB,15,4,77,148,52,1061,6,4.1,4,2.7,45,81,7.2,6.8,13.8,70.7,77.6,13,59,6.22,5.85,8.1,0,0
Brandon Allen,CIN,28,QB,5,5,90,142,63.4,925,5,3.5,4,2.8,42,72,6.5,6,10.3,185,82,7,51,5.87,5.33,4.7,1,1
Jimmy Garoppolo,SFO,29,QB,6,6,94,140,67.1,1096,7,5,5,3.6,55,76,7.8,7.2,11.7,182.7,92.4,11,77,6.75,6.19,7.3,0,0
Joe Flacco,NYJ,35,QB,5,4,74,134,55.2,864,6,4.5,3,2.2,36,52,6.4,6.3,11.7,172.8,80.6,7,69,5.64,5.53,5,0,0
Taysom Hill,NOR,30,QB,16,8,88,121,72.7,928,4,3.3,2,1.7,45,44,7.7,7.6,10.5,58,98.8,14,87,6.23,6.16,10.4,0,0
Jake Luton,JAX,24,QB,3,3,60,110,54.5,624,2,1.8,6,5.5,31,73,5.7,3.6,10.4,208,54.5,7,52,4.89,2.92,6,0,0
C.J. Beathard,SFO,27,QB,6,2,66,104,63.5,787,6,5.8,0,0,42,49,7.6,8.7,11.9,131.2,105.7,9,71,6.34,7.4,8,0,0
Kyle Allen,WAS,24,QB,4,4,60,87,69,610,4,4.6,1,1.1,30,52,7,7.4,10.2,152.5,99.3,7,44,6.02,6.39,7.4,0,0
Colt McCoy,NYG,34,QB,4,2,40,66,60.6,375,1,1.5,1,1.5,19,35,5.7,5.3,9.4,93.8,75,5,24,4.94,4.59,7,0,0
Jeff Driskel,DEN,27,QB,3,1,35,64,54.7,432,3,4.7,2,3.1,18,45,6.8,6.3,12.3,144,78.4,11,98,4.45,4.05,14.7,0,0
Phillip Walker,CAR,25,QB,4,1,32,56,57.1,368,1,1.8,5,8.9,17,52,6.6,2.9,11.5,92,45.8,4,31,5.62,2.2,6.7,0,0
Jarrett Stidham,NWE,24,QB,5,0,22,44,50,256,2,4.5,3,6.8,12,38,5.8,3.7,11.6,51.2,54.7,4,21,4.9,2.92,8.3,0,0
Chase Daniel,DET,34,QB,4,0,29,43,67.4,264,1,2.3,2,4.7,14,28,6.1,4.5,9.1,66,72.2,3,29,5.11,3.59,6.5,0,0
Ben DiNucci,DAL,24,QB,3,1,23,43,53.5,219,0,0,0,0,11,32,5.1,5.1,9.5,73,67.9,7,73,2.92,2.92,14,0,0
Mason Rudolph,PIT,25,QB,5,1,25,43,58.1,324,2,4.7,1,2.3,13,47,7.5,7.4,13,64.8,87.7,1,8,7.18,7.07,2.3,0,0
